"IncidentDate","OccurredFromTime","IncidentNum","Offense","NIBRS","NIBRSCategory","SRS_UCR","CrimeAgainst","FelMisdCit","IncidentTopSRS_UCR","IncidentLocation","IntersectionOtherLoc","District","Neighborhood","NbhdNum","Latitude","Longitude","IncidentSupplemented","LastSuppDate","VictimNum","FirearmUsed","IncidentNature"
"4/19/2024 12:00:00 AM","00:01:00","19018725    ","FAIL TO REGISTER AS A SEX OFFENDER PURSUANT TO 589.400-425","90Z","All Other Offenses","","Unspecified","F","","1915 OLIVE","","4","Downtown West","36","38.63211","-90.207689","No","","","No","Sex Offenses - Criminal"
"12/6/2020 12:00:00 AM","05:40:00","20054971    ","MURDER 2ND DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","F","01","4410 GRAVOIS","","1","Bevo Mill","5","38.585683","-90.26018","Yes","4/8/2024 8:18:40 AM","391192","Yes","Burglary - Criminal"
"12/6/2020 12:00:00 AM","05:40:00","20054971    ","MURDER 2ND DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","F","01","4410 GRAVOIS","","1","Bevo Mill","5","38.585683","-90.26018","Yes","4/8/2024 8:18:40 AM","391193","Yes","Burglary - Criminal"
"12/6/2020 12:00:00 AM","05:40:00","20054971    ","BURGLARY - 2ND DEGREE","220","Burglary/Breaking and Entering","05","Property","","01","4410 GRAVOIS","","1","Bevo Mill","5","38.585683","-90.26018","Yes","4/8/2024 8:18:40 AM","","No","Burglary - Criminal"
"12/6/2020 12:00:00 AM","05:40:00","20054971    ","UNLAWFUL USE OF WEAPON - SUBSECTION 4 - EXHIBITING","520","Weapons Law Violations","","Society","","01","4410 GRAVOIS","","1","Bevo Mill","5","38.585683","-90.26018","Yes","4/8/2024 8:18:40 AM","","No","Burglary - Criminal"
"1/1/2021 12:00:00 AM","00:46:00","21000514    ","MISCELLANEOUS WEAPON VIOLATION","520","Weapons Law Violations","","Society","","","5110 MAFFITT AVE","","5","Kingsway West","52","38.670699","-90.25863","Yes","4/5/2024 12:05:13 PM","","Yes","Weapon Law Violation - Criminal"
"1/29/2021 12:00:00 AM","10:00:00","21004456    ","STEALING","23A","Pocket-picking","06","Property","","06","3645 COOK AVE","","4","Covenant Blu Grand Center","77","38.645714","-90.22927","Yes","4/12/2024 8:35:14 AM","","No","Fraud - Criminal"
"1/29/2021 12:00:00 AM","10:00:00","21004456    ","FORGERY","250","Counterfeiting/Forgery","","Property","F","06","3645 COOK AVE","","4","Covenant Blu Grand Center","77","38.645714","-90.22927","Yes","4/12/2024 8:35:14 AM","","No","Fraud - Criminal"
"2/4/2021 12:00:00 AM","01:30:00","21005118    ","RESISTING ARREST/DETENTION/STOP BY FLEEING - CREATING A SUBSTANTIAL RISK OF SERIOUS INJURY/DEATH TO ANY PERSON","90Z","All Other Offenses","","Unspecified","","","N 18TH ST","DR MARTIN LUTHER KING DR","4","Downtown West","36","38.63599","-90.20394","Yes","4/6/2024 2:27:25 PM","","No","Offenses - All Other - Criminal"
"2/5/2021 12:00:00 AM","17:52:00","21005401    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","","01","3321 LEOLA AVE","","2","Lindenwood Park","9","38.602347","-90.302098","Yes","4/11/2024 12:05:46 AM","392239","Yes","Homicide - Criminal"
"3/7/2021 12:00:00 AM","11:51:00","21009503    ","POSSESSION OF A DEFACED FIREARM","520","Weapons Law Violations","","Society","M","","N COMPTON AVE","DR MARTIN LUTHER KING DR","4","JeffVanderLou","59","38.643864","-90.22392","Yes","4/11/2024 12:05:46 AM","","Yes","Weapon Law Violation - Criminal"
"4/3/2021 12:00:00 AM","11:32:00","21013388    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","5900 DEGIVERVILLE","","5","West End","48","38.65243","-90.291462","Yes","4/22/2024 12:33:49 PM","396048","Yes","Aggravated Assault - Shooting - Criminal"
"4/3/2021 12:00:00 AM","11:32:00","21013388    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","5900 DEGIVERVILLE","","5","West End","48","38.65243","-90.291462","Yes","4/22/2024 12:33:49 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/3/2021 12:00:00 AM","17:30:00","21013438    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","3929 VIRGINIA AVE","","2","Dutchtown","16","38.585073","-90.240336","Yes","4/22/2024 12:21:01 PM","396024","Yes","Aggravated Assault - Shooting - Criminal"
"4/4/2021 12:00:00 AM","13:09:00","21013526    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","811 N KINGSHIGHWAY BLVD","","5","Fountain Park","53","38.653219","-90.263678","Yes","4/25/2024 12:05:15 PM","397160","Yes","Aggravated Assault - Shooting - Criminal"
"4/4/2021 12:00:00 AM","13:09:00","21013526    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","04","811 N KINGSHIGHWAY BLVD","","5","Fountain Park","53","38.653219","-90.263678","Yes","4/25/2024 12:05:15 PM","","No","Aggravated Assault - Shooting - Criminal"
"4/9/2021 12:00:00 AM","15:40:00","21014327    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","5819 WESTMINSTER PL","","5","Skinker / DeBaliviere","46","38.653113","-90.28981","Yes","4/22/2024 12:35:11 PM","396051","Yes","Aggravated Assault - Shooting - Criminal"
"4/9/2021 12:00:00 AM","15:40:00","21014327    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","5819 WESTMINSTER PL","","5","Skinker / DeBaliviere","46","38.653113","-90.28981","Yes","4/22/2024 12:35:11 PM","396052","Yes","Aggravated Assault - Shooting - Criminal"
