IncidentDate,OccurredFromTime,IncidentNum,Offense,NIBRS,NIBRSCategory,SRS_UCR,CrimeAgainst,FelMisdCit,IncidentTopSRS_UCR,IncidentLocation,IntersectionOtherLoc,District,Neighborhood,NbhdNum,Latitude,Longitude,IncidentSupplemented,LastSuppDate,VictimNum,FirearmUsed,IncidentNature
2020-12-17,18:00:00,20056840    ,STEALING - $750 OR MORE,23H,All Other Larceny,06,Property,F,06,8025 S BROADWAY,NULL,1,Patch,2,38.544389,-90.26229,Yes,2024-01-29 08:55:56.3400000,NULL,No,Stolen Property - Criminal
2020-12-17,18:00:00,20056840    ,PROPERTY DAMAGE 1ST DEGREE,290,Destruction/Damage/Vandalism of Property,NULL,Property,NULL,06,8025 S BROADWAY,NULL,1,Patch,2,38.544389,-90.26229,Yes,2024-01-29 08:55:56.3400000,NULL,No,Stolen Property - Criminal
2020-12-23,06:05:00,20057591    ,ROBBERY - 1ST DEGREE,120,Robbery,03,Property,NULL,03,2600 N 14TH ST,NULL,4,Old North St Louis,63,38.650037,-90.196741,Yes,2024-01-27 00:05:05.7070000,NULL,Yes,Carjacking - Criminal
2020-12-29,00:52:00,20058325    ,ROBBERY - 1ST DEGREE,120,Robbery,03,Property,NULL,03,4922 CLAXTON AVE,NULL,6,Mark Twain,71,38.689941,-90.24973,Yes,2024-01-12 13:47:31.0000000,NULL,Yes,Robbery - Criminal
2020-12-31,22:20:00,20058746    ,ASSAULT 1ST DEGREE OR ATTEMPT,13A,Aggravated Assault,04,Person,NULL,04,811 SPRUCE ST,ROOM 311,4,Downtown,35,38.623713,-90.194768,Yes,2024-01-08 08:33:09.0300000,363565,Yes,Aggravated Assault - Shooting - Criminal
2021-01-04,12:50:00,21000522    ,MURDER 1ST DEGREE,09A,Murder and Nonnegligent Manslaughter,01,Person,NULL,01,4036 ARSENAL ST,1ST FLOOR,2,Tower Grove South,15,38.603613,-90.253747,Yes,2024-01-19 08:52:48.4800000,366839,Yes,Homicide - Criminal
2021-01-06,08:00:00,21000790    ,VIOLATION OF ORDER OF PROTECTION FOR ADULT - 1ST OFFENSE,90Z,All Other Offenses,NULL,Unspecified,NULL,NULL,620 S TAYLOR AVE,NULL,5,Central West End,38,38.634742,-90.25898,Yes,2024-01-17 19:48:29.7230000,NULL,No,Offenses - All Other - Criminal
2021-01-06,12:00:00,21000840    ,MURDER 1ST DEGREE,09A,Murder and Nonnegligent Manslaughter,01,Person,NULL,01,4481 PENROSE,NULL,6,Penrose,69,38.676546,-90.23502,Yes,2024-01-22 11:51:21.7130000,367426,Yes,Aggravated Assault - Shooting - Criminal
2021-01-06,17:00:00,21000905    ,ASSAULT 1ST DEGREE OR ATTEMPT,13A,Aggravated Assault,04,Person,NULL,04,LILLIAN AVE AND THRUSH AVE,NULL,6,Walnut Park East,72,38.69575,-90.25352,Yes,2024-01-22 11:09:43.3530000,367401,Yes,Aggravated Assault - Shooting - Criminal
2021-01-06,19:14:00,21000908    ,ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM,13A,Aggravated Assault,04,Person,NULL,04,UTAH ST,NULL,3,Marine Villa,18,38.595299,-90.226944,Yes,2024-01-22 10:27:05.5130000,367377,Yes,Aggravated Assault - Shooting - Criminal
